id,body,y,dataset
1,"This hairless cat ""has a face on her butt"" - and everyone thinks it looks like Voldemort

Social media users were quick to point out its uncanny resemblance to He Who Must Not Be Named

Us humans have a knack for seeing faces where there really shouldn't be faces.

Whether it's seeing Jesus in a tree stump or the Queen's face in a baby scan, our brains can play tricks on us in the strangest ways.

But even the most skeptical of people must admit that this face-on-a-cat-bum is pretty weird.

The image was uploaded to Imgur by the cat's owners yesterday, along with the caption: ""Our hairless cat has a face on her butt.""

Although the owners didn't see the resemblance to Voldemort initially, it was pointed out by several amused commentators.

One said: ""When Voldemort gave up his human form, he had few choices left for the shredded remains of his final horcrux soul fragment. He looks glum.""

Another commented: ""Voldemort is getting desperate these days, I see.""

More people still were more disturbed by the fact that its tail looked like a tongue, with one saying: ""That ""tail-tongue"" is freaking me the f*** out.""",uncertain,test
2,"Supermodel Pattie Boyd exhibits more images of her life with pop icons

A sneak preview of life behind the scenes with two of the world's top pop icons was unveiled Thursday on the eve of a new exhibition in Liverpool.

Almost 60 photographs taken by Pattie Boyd, former wife of music legends the ex-Beatle George Harrison and rock guitarist Eric Clapton, go on display Friday in an exclusive exhibition at The Beatles Story.

""George, Eric and Me"" is Boyd's first major solo exhibition in Britain and will continue in Liverpool for six months.

Boyd, a former supermodel who was the inspiration for the hit songs ""Layla"" and ""Wonderful Tonight,"" has selected the intimate portraits from her personal archives.

Through the lens of her camera, she provides insight into her life with two musical world icons.

The exhibition incorporates images that feature the musicians' friends and collaborators including George Harrison's fellow Beatles band members as well as images of the Rolling Stone's Keith Richards and Ronnie Wood.

Boyd said Thursday: ""I'm delighted that my images are now on display at The Beatles Story. Whilst I unfortunately can't be there in person today, I am looking forward to visiting the attraction soon to enjoy the exhibition.

""The exhibition is a glimpse into my life during that period and it will be wonderful to see people's reaction to the collection of images I've selected for display.""

The photographer and former model was married to Harrison from 1966 to 1977, and Clapton from 1979 to 1989.

Boyd was due in Liverpool Thursday to open the exhibition, but injured her hip and elbow in an accident while out walking her dog.

Martin King of The Beatles Story said: ""We are thrilled to launch this exhibition at The Beatles Story and that Pattie has chosen the attraction to house this collection of images.""

""The images on display are truly beautiful snapshots of Pattie's life with two of the greatest musicians of all time. Through Pattie's lens, we are able to see a rare glimpse into unguarded moments and it is a pleasure to be able to share these images with music fans.""

The award-winning Beatles Story is the world's largest permanent exhibition purely devoted to the lives and times of The Beatles. It is located in the Fab Four's hometown of Liverpool at the Albert Dock, a UNESCO World Heritage site.",high,test
3,"UN chief names new special representative for Guinea-Bissau

UN Secretary-General Ban Ki-moon on Thursday announced the appointment of Modibo Toure of Mali as his new special representative for Guinea-Bissau and head of the United Nations Integrated Peacebuilding Office in Guinea-Bissau (UNIOGBIS).

Toure replaces Miguel Trovoada of Sao Tome and Principe, who completed his assignment on April 30.

The secretary-general is grateful to Trovoada's leadership and for the accomplishments of the UN Mission during his tenure at UNIOGBIS, Ban's spokesman Stephane Dujarric told reporters here.

Toure served as special adviser to the special envoy for the Great Lakes Region from 2013 to 2015.

Prior to that, he was the United Nations resident coordinator, humanitarian coordinator and resident Representative ad interim of the UN Development Programme (UNDP) in Kenya in 2013.

He worked in 2012 as the deputy special representative of the UN secretary-general, resident coordinator and humanitarian coordinator ad interim in the Central African Republic, and served as UN resident coordinator and humanitarian coordinator and UNDP resident representative in Chad and Ethiopia.

He held high-level positions in the African Development Bank and served as the minister of new technologies, telecommunications and post office in Mali.",high,test
4,"Sudden cardiac arrest is a leading killer of college athletes. Here's the NCAA's plan of attack.

Basketball fans attending Loyola Marymount University's game against the University of Portland in March 1990 thought they were in for a spirited semifinal game. But then the unthinkable happened: 23-year-old Hank Gathers, a 6-foot 7-inch superstar, collapsed on the court. Stunned fans later learned that he died of sudden cardiac arrest -- a condition that still kills between five and 10 NCAA athletes every year. Now, 26 years later, the NCAA has issued new guidance on how to prevent those kinds of deaths.

It's the result of a multi-year process initiated by the association, which convened a task force of cardiovascular and sports medicine experts, student athletes, and athletic trainers to decide what to do about sudden cardiac deaths in sports back in 2014. The group came up with a consensus statement recently published in the Journal of the American College of Cardiology. The document identifies the purpose of pre-participation evaluations, best practices for those screenings, and guidelines for how officials should plan for and handle emergency cardiac arrest when it's in progress.

Just how bad is the problem? In 2011, researchers from the University of Washington at Seattle used an NCAA database, public media reports, and catastrophic insurance claims to come up with an incidence rate for sudden cardiac death among students who died suddenly during exercise. They found that 75 percent of sudden deaths among student athletes who died during exercise could be traced to cardiovascular causes and that the current methods of collecting data underestimate the risk of sudden cardiac death.

The NCAA itself found that the risk of a male athlete dying from sudden cardiac arrest is one in 38,000 and only one in about 122,000 for female athletes. Basketball, soccer, and football players appear to be at the greatest risk -- though only 4 percent of NCAA athletes are basketball players, they represent a full 20 percent of all sudden cardiac deaths.

But though the recommendations give guidelines on how to use electrocardiograms (ECGs) to predict those kinds of risks to student athletes, they stop short of actually recommending them. ""We're not mandating or recommending that they be done across the board,"" says Brian Hainline, staff senior vice president and chief medical officer of the NCAA. In 2015, Hainline, who is the NCAA's first-ever chief medical officer, backtracked on a publicly announced plan to require all student athletes to receive ECGs when team physicians from over 100 universities protested.

""Look, people have been talking about electrocardiogram screening for a long time, but it's been so polarized that you have two camps and the two camps just keep saying the same thing and you're not moving forward in a consensus-driven manner,"" Hainline says. One camp insists that EKGs are a critical predictive tool that can identify cardiac conditions, like myocarditis, a disease that inflames and can damage the heart muscle and that is associated with sudden cardiac death. The other holds that since so few student athletes have the kinds of cardiac problems that can be detected by EKG and that put them at risk for sudden death, the procedure shouldn't be performed as a requirement for participation -- a position held by organizations like the American Heart Association.

""For a lot of sudden cardiac deaths, the first symptom is sudden cardiac death,"" says Justin Wright, assistant professor in the Department of Family and Community Medicine at the Paul L. Foster School of Medicine in El Paso. A sports-medicine-trained physician, Wright directs the school's sports medicine program. ""Our current system isn't perfect, but I'm not sure that EKG screening may not be the perfect answer, either.""

The new consensus statement neatly sidesteps the EKG issue: It provides best practices for institutions that choose to require the tests as part of screening, but stops short of recommending it be implemented across the board. It may be cautious when it comes to how to predict cardiac arrest risks, but when it comes to how organizations should treat it while it's happening, the statement minces no words. ""The debate about the effectiveness of various screening examinations ... will undoubtedly continue,"" it reads. ""However, there is no debate that a well-rehearsed and effectively implemented [emergency action plan] ... is effective at reducing the risk of death.""

To that end, the statement insists that coaching staff, referees and other responders be trained, that emergency plans be in place, and that working automatic external defibrillators (AEDs) be available during practice and play. When Gathers collapsed back in 1990, CPR was initially not administered because he was responsive. However, an AED was unsuccessfully used to save his life, and once Gathers registered no pulse, CPR was unsuccessfully used.

Perhaps a more cohesive emergency plan -- or a more rigorous cardiovascular screening -- could have saved Gathers. But Hainline hopes that the new guidelines can keep today's athletes and those of the future from dying during sports. ""No matter what we do, there's always going to be a risk of someone dying of sudden cardiac arrest,"" he says. ""In all sports settings the most important thing we can do is make certain that all of the appropriate people are CPR and AED trained.""

Wright, who oversees medical game coverage for the University of Texas at El Paso and local high schools, agrees. ""Everyone thinks they're going to rise to the occasion, but most of the time we fall back to our level of training,"" he says. ""It's not difficult to learn CPR.""",high,test
5,"Sevilla make it a hat-trick of Europa League finals after seeing off Shakhtar

Kevin Gameiro scored twice as Sevilla saved their best form for the Europa League and made their third straight final with a 3-1 second-leg win over Shakhtar Donetsk. Gameiro picked up where he left off after grabbing a late equaliser in the first leg last week, firing a ninth-minute opener at the Ramon Sanchez Pizjuan to set his side on course for a 5-3 aggregate win. Shakhtar drew level through Marlos, but Gameiro's second and a third for Mariano ensured the run of Unai Emery's side would continue.

The form guide had suggested Shakhtar had a chance of victory with Sevilla limping into the game on the back of an indifferent 1-0 loss at Espanyol last weekend, while the visitors thrashed their domestic rivals Dynamo Kiev 3-0.

But as two consecutive Europa League crowns prove, Sevilla are a different proposition in Europe and it did not take them long to take the lead on the night when Gameiro seized on a mistake by Maksim Malyshev to fire home.

There was plenty of early frustration evident in the Shakhtar ranks with Marlos, Yaroslav Rakitskiy and Oleksandr Kucher all booked in the first half-hour as their side struggled to get a grip.

Only a superb interception from Taras Stepanenko prevented a golden second chance for Gameiro, but Shakhtar slowly grew in confidence and a near-miss from Ismaily served as a warning for the hosts.

Moments before half-time Shakhtar made their pressure pay when Marlos played Eduardo into the box and the Croatian fired his side level - and still had time to miss the chance to add a second before the break.

Shakhtar's relief lasted just two minutes into the second half before the dangerous Ever Banega threaded a neat ball into the box from out on the right and Gameiro kept his cool to round goalkeeper Andriy Pyatov and make it 2-1.

Sevilla began to pour on the pressure, with Mariano testing Pyatov and Banega firing wide before the increasingly inevitable third arrived in the 59th minute with Mariano's super finish from a Vitolo through-ball.

Grzegorz Krychowiak almost made it four when he flashed a header wide from Banega's free-kick 10 minutes later, while Eduardo also came close to what surely would have been a consolation for the visitors.

Shakhtar's frustrations spilled over in the final minutes with Stepanenko in particular fortunate to avoid a red card after a pair of tasty challenges, as Sevilla cruised into their third straight final in style.",high,test
6,"Dana White refutes report of Conor McGregor - Floyd Mayweather fight

When Floyd Mayweather Jr. last weekend referred to a comeback fight for ""nine figures,"" was he referring to a date with Ultimate Fighting Championship star Conor McGregor?

The Sun tabloid in England reported Friday that, ""Both sides just have to agree on the purse and sign the paperwork -- which sources say is imminent -- and an announcement is likely to be made in the coming weeks"" for a summer fight.

UFC President Dana White told the Los Angeles Times on Friday that the question about McGregor-Mayweather was the first he had heard of it.

""McGregor-Mayweather? No,"" White said.

""It'd be very hard to pull off. I've heard Floyd is on a worldwide vacation on Mayweather Air spending millions in every country he visits.""

And when asked if McGregor could fight outside the UFC in a boxing match of his choosing, White said, ""Never.

""We're his promoter. We'd have to make the fight.""

White said McGregor has never even raised the idea to him about any interest in boxing Mayweather.

White called the Sun report ""completely fiction, this is like bottom-feeder ... stuff.""

The UFC has permitted only one MMA-boxing fight, and that was in a UFC cage when former two-division champion Randy Couture cruised to victory over former boxing champion James Toney.

McGregor, whose strength is stand-up fighting, has engaged Mayweather in a social-media war of words, and before his March 5 loss to Nate Diaz, there was buzz that such a bout would generate a financial windfall even if Mayweather's sharp, well-developed skill would likely dominate the charismatic Irishman.

According to the Sun report, a source said, ""Floyd went mad after Conor said he would crush him and knock him out in 30 seconds, he's obsessed with making Conor eat his words. Floyd is calling the shots. It's strictly boxing and Conor will have to lose roughly 25 pounds.

""It was agreed in principle on May 2, but Floyd wouldn't reveal the identity of his opponent until last night when he told friends he'll be fighting Conor.""

McGregor is currently in a riff with UFC after failing to appear at a news conference in Las Vegas last month. The UFC scratched his scheduled July 9 UFC 200 main-event welterweight rematch against Diaz, despite McGregor lobbying for reconsideration.

Oddsmaker Bovada set McGregor as a 20-1 underdog in the fight, denoting such a bout would have to be sanctioned by the Nevada State Athletic Commission.

It's believed Mayweather (49-0), should he choose to end his retirement, would fight someone like unbeaten World Boxing Council welterweight boxing champion Danny Garcia or perhaps a rematch with Manny Pacquiao, who's also currently retired.",high,test
7,"Court Papers Show Joe Paterno Probably Knew About Jerry Sandusky Child Sex Abuse

Child allegedly came forward in 1976 to report problems.

While the late Penn State Head Coach Joe Paterno always claimed he didn't know about his longtime colleague Jerry Sandusky's abuse of children, shocking new documents seem to prove otherwise.

State now alleges that ""in 1976, a child allegedly reported to PSU's Head Coach Joseph Paterno that he [the child] was sexually molested by Sandusky.""

The order in question also states that between 1987 and 1988 there were multiple assistant coaches who witnessed Sandusky's inappropriate interactions with kids, and one case, state the papers, was allegedly referred to the school's top official in the athletic department.

Sandusky, who worked under Paterno for thirty years, was convicted in 2012 on charges he sexually abused 10 boys between 1994 and 2008. Penn State has had to dole out over $60 million to settle the dozens of civil claims stemming from Sandusky's actions during that period.

Paterno's family has released a statement dismissing the latest revelations in the insurance case, insisting the coach, who died in January 2012, was completely in the dark about Sandusky and never covered anything up.

""Over the past four-and-a-half years Joe Paterno's conduct has been scrutinized by an endless list of investigators and attorneys,"" said Wick Sollers, the Paternos' lawyer.

""Through all of this review there has never been any evidence of inappropriate conduct by Coach Paterno. To the contrary, the evidence clearly shows he shared information with his superiors as appropriate.""

""An allegation now about an alleged event 40 years ago, as represented by a single line in a court document regarding an insurance issue, with no corroborating evidence, does not change the facts,"" Sollers noted, adding, ""Joe Paterno did not, at any time, cover up conduct by Jerry Sandusky.""",uncertain,test
8,"Clinton more likely to win U.S. presidency than Trump: PredictIt

Democratic front-runner Hillary Clinton has a higher probability than her likely Republican rival Donald Trump of becoming the next U.S. president, but the gap between the pair narrowed this week, according to the online political stock market PredictIt.

Clinton's probability on Friday was 61 percent, down from 65 percent seven days ago, according to the site, which allows users to wager small amounts of money on ""yes"" or ""no"" predictions of future events. The probability that Trump will win the Nov. 8 election was 40 percent, up from 34 percent.

Trump's sweeping victory in this week's Indiana primary prompted his remaining Republicans rivals Ted Cruz and John Kasich to drop out of the race, cementing the businessman's status as the party's presumptive nominee.

He is now testing out themes to use against Clinton to persuade disgruntled Republicans to get behind his campaign. On Friday, he criticized her use of a private email server while she was U.S. secretary of state.

PredictIt is jointly run by Washington political consultancy Aristotle and Victoria University in Wellington, New Zealand. All of its users are registered U.S. voters.

As with polls, predictions markets like PredictIt do not always accurately forecast outcome. Ninety days ago, its users gave Trump a 20 percent probability of winning the presidency, illustrating how the celebrity businessman's momentum was underestimated.

Clinton is in a fight with U.S. Sentor Bernie Sanders for the Democratic nomination and holds a clear lead in delegates.",high,test
9,"Harry Styles has cut off his famous hair for charity

We're not quite sure how to deal with the One Direction star's drastic change

Harry Styles has apparently cut his hair off.

The One Direction star teased fans that he's lopped off his famous locks.

Could the new look be anything to do with his new film career?

Whatever the reason for his change - the 22 year old seems to have donated his ponytail to charity.

Harry shared a snap on his Instagram of him holding a ponytail as he gives the thumbs up.

""Whoops,"" he captioned the snap.

He also added the hashtag #Littleprincesstrust, a charity which makes wigs for children who have lost their hair to cancer.

Fans of the What Makes You Beautiful singer instantly reacted to the picture.

It seems they aren't too impressed with the prospect of a curl-less Harry.

""WHAT! HARRY NO!"" one fan wrote on his Instagram.

Another added: ""I can't believe what's just happened.""

""Harry! What have you done,"" one wrote.

We can't wait to see what he looks like.",uncertain,test
10,"118 flights delayed by storms in Guangzhou

Heavy rain disrupted air traffic in the southern Chinese city of Guangzhou on Friday.

At least 118 flights out of the Guangzhou Baiyun International Airport in the capital of Guangdong Province were delayed by over one hour.

The airport issued a red alert, the first time the highest warning has been issued this year, for air traffic disruption.

The rain abated in the evening, but traffic controls were still in place due to strong convective weather in neighboring regions, the airport said.

Airlines have arranged accommodation and meals for passengers from dozens of flights.",high,test
