id,body,y,dataset
1,"Madonna: I'm Not Going to Brazil to Meet Jesus' Mom

Madonna is not planning on meeting the mother of Jesus. At least not yet.

Traveling to Brazil this week with 23 year-old boyfriend Jesus Luz, Madonna, 51, squashed a report that she'll spend some time with Cristiane Regina da Silva, Luz's mom,  who is 14 years younger than Madonna.

""I am going there strictly for fundraising and humanitarian purposes,"" she told the New York Post. That includes a meeting with the governor of Rio de Janeiro and sponsorship of a documentary about impoverished local children.

This follows Tuesday's claims by the UK's Daily Mail that Madonna was ""slightly on edge"" about meeting her boyfriend's 37 year-old mother, a hairdresser who had Jesus as a teen and felt ""uncomfortable"" about his relationship.

The pop star, 51, was in the African nation Malawi with her four children at the end of October for similar charity efforts. Visiting the orphanage where she found son David, 4, Madonna encountered a young orphan who said, ""You are our god . . . Where could we have been without you?""

She and the 23 year-old Luz, a model and aspiring DJ, have been dating since February 2009.",uncertain,training
2,"Where in the Universe is Miss Brazil?

The pageant world has been rocked by yet another scandal! 

Former Miss Brazil Taiza Thomsen last spoke to her family in September, saying she was in London. After not hearing from the 24-year-old stunner for months, family members contacted authorities to look into her whereabouts. Brazilian police began searching for Thomsen in January, and suggested that human trafficking may have played a role in her inexplicable disappearance! 

Luckily, that was not the case. Earlier this week, Brazilian officials revealed that runway runaway Thomsen called them and said, ""...she was doing well in London and that she didn't want to be found, not even by her parents."" Authorities don't intend to investigate further -- and closed the case.

Thomsen, who competed in Donald Trump's 2003 Miss Universe pageant, is the latest beauty queen to make ugly headlines on the heels of Mess USA Tara Conner's rehab stint. In December, Miss Nevada Katie Rees was stripped of her crown after racy photos surfaced of her kissing other women and exposing herself. Last month, Miss New Jersey Ashley Harder resigned from her throne after getting knocked up. Who's next?",uncertain,training
3,"Soccer Star Plays Ball -- With Three Transvestites

Brazilian futbol star Ronaldo has been caught playing in his own personal ""Crying Game.""

The 31-year-old AC Milan forward claims he's become a victim of extortion after he unknowingly took three transvestite prostitutes back to his Rio motel on Monday. Save him, Eddie Murphy! After realizing the gals were actually guys, the transvestites claim Ronaldo threatened to harm and tried to bribe them to keep the entire incident silent. Good luck with that.

In February, Ronaldo suffered a career-threatening knee injury and, according to Reuters, has been suffering ""psychological problems"" from recent surgery.

Brazilian authorities are investigating the entire he said/he said incident.",uncertain,test
4,"Gisele Ready to Sell!

Brazilian supermodel Gisele Bundchen seems to be highly motivated to sell her pad in New York City. She dropped the price of her snazzy triplex penthouse from $10.9 million to a paltry $9.2 million -- a real bargain!

And here's what you'd get for that kind of dinheiro: 1,700 square feet with 2 bedrooms and 2 marble baths, a powder room, elevator, wood-burning fireplace, a roof deck with chef's professional grill, a party-size hot tub and a cozy hammock -- and all with panoramic views of the lovely Hudson River. Oh, baby!

Reports say Bundchen paid close to $3 million for the swanky pad nearly five years ago. Who said blondes aren't smart? She has also been named by Forbes magazine as this year's richest model in the world -- with a staggering $33 million in earnings over the past 12 months. That's a lot of sashaying! 

The Victoria's Secret star is now living in a large townhouse in Greenwich Village -- sometimes with Patriots quarterback and father of Bridget Moynahan's new baby, Tom Brady.",uncertain,training
5,"Brazil may lose World Cup spot

Bruno Cazarine Constantino. Remember the name as he may become as infamous as Jean-Marc Bosman.

Cazarine, you see, is the reason Brazil could be banned from playing in next summer's World Cup finals.

That's right, Brazil, the world's favourite football team, could be kicked out of South Africa 2010.

A tournament without them may be unthinkable but a legal case brought against the Brazilian FA (CBF) by one of the smallest clubs under its jurisdiction is threatening exactly that.

And at the centre of the whole affair is the unlikely figure of Cazarine, 26, who could be about to become public enemy No 1.

Cazarine is an unlikely villain in such a major drama, especially one of the scale which has unfolded in Brazil in the past two months.

He's a journeyman player - a very average midfielder who has bounced around nine clubs in the last six years.

It's his last three, however, which have put FIFA at odds with the CBF and could yet carry the ultimate sanction for the Brazil national team.

The row revolves around the outcome of the Brazilian Serie B - and the final placing of two teams.

Guarani, for whom Cazarine plays, came second and were promoted, while Portuguesa finished fifth, meaning they missed going up by one place.

Portuguesa then filed an official complaint against Guarani to the CBF on the basis that Cazarine has played for three different clubs in the same season.

In doing so, he was in clear violation of the FIFA Players' Status rules - Article 5, Paragraph 3.

Both Guarani and the CBF brushed off the protest as insignificant and cited exceptional circumstances.

The player left Brazil's AC Chapecoense on May 10 this year to sign for South Korea's Gyeongnam FC, where he played until joining Guarani on July 13.

Guarani argued he was exempt because FIFA rules allow a player to have three clubs in a season if one club's championship competition is not on the same calendar as his new club.

The excuse was flimsy at best as the K League ran from March to December, while Brazil's season ran from May to December.

Yet, amazingly, the CBF still accepted this explanation.

Portuguesa appointed the highly-respected legal team to take the case to FIFA.

SunSport has acquired copies of the documents sent on Portuguesa's behalf to FIFA, citing the CBF and Guarani's transgression.

We also have the acknowledgement of the citation by FIFA's legal director Marco Villiger and the deputy head of the Players' Status Committee, Daniel Pose.

A meeting is scheduled for January 5. FIFA will decide how the case should proceed.

Paulo Teixeira, who is leading Portuguesa's case, also has proof that the CBF failed in their responsibility as the association in charge of the clubs to punish Guarani.

In doing so, what should have been a local spat between clubs the size of Grimsby and Rotherham has become an issue which could rock soccer to its very core.

Since the complaint is now very much against the CBF as well as Guarani and has been passed to FIFA, it's the world body which must now act by applying its own law.

And that law states that any member association which fails to punish correctly a club which breaks FIFA rules will have its national team suspended from playing in the next official tournament.

Now the cynical among you (me included) will no doubt argue there's no way Sepp Blatter and Co will allow the greatest show on earth to go on without its biggest star.

Surely they'll find some loophole to ensure Brazil take their place in the Group of Death alongside Portugal, Ivory Coast and North Korea.

Maybe. But with a presidential election at FIFA in which Blatter is hoping to win a fourth term, can anyone be seen to so blatantly flout their own rules?

Make no mistake, Portuguesa mean business and will not go away quietly.

Of course it would be a shame for football fans if Brazil were absent.

Yet one team's loss is normally another's gain, and should FIFA replace Brazil, at least they have a country with a strong claim to be there next summer.

Maybe the luck of the Irish is about to change?",uncertain,test
6,"Brazil star Kaka's sex sacrifice

Soccer star Kaka says he avoided scoring off the pitch - to keep his virginity for his bride.

The Brazil and AC Milan midfielder, 25, met sweetheart Caroline in his homeland when she was 14 and he was 19 - and he vowed to wait.

They held together a long-distance relationship and saved making love until they wed in 2005.

Kaka said: The first night was beautiful. My wife and I chose chastity.",uncertain,training
7,"Gatti passes away in Brazil

Boxing legend Arturo Gatti has been found dead in a hotel room in Brazil at the age of 37.

Initial reports indicate the death may not have been due to natural causes with the former world champion appearing to have suffered injuries to his head and neck.

Police investigator Edilson Alves said: ""It is still too early to say anything concrete, although it is all very strange.""

Gatti, who was born in Italy, had arrived at the seaside resort of Porto de Galinhas with his wife and one-year-old son on Friday.

He held the IBF super-featherwight and WBC light-welterweight titles and was involved in a famous trilogy with 'Irish' Micky Ward, winning the last two contests on points.

Gatti faced Floyd Mayweather Jnr in June 2005 but it quickly became clear he was past his best and Money claimed the WBC crown courtesy of a sixth-round stoppage.

He retired in 2007 with a record of 40 wins - 31 by knockout - and nine losses.

Kathy Duva, of Gatti's promoters Main Events, said: ""His entire boxing career he fought with us, we've known him since he was 17.

""He just captured the imagination of so many people.

""He had no idea what an icon he was or how much he meant to people.""",uncertain,test
8,"Exclusive: Mum of Brazil suitcase girl vows revenge

The shattered mum of dismembered Brazil suitcase girl Cara Burke yesterday vowed: ""I will kill the monster who did this.""

Anne-Marie Burke, 53, told how her 17-year-old daughter sent a text message just two weeks ago begging: ""Please mum, I want to come home.""

Cara was stabbed in the heart with a kitchen knife. Her torso was found in a suitcase dumped on a riverbank.

Boyfriend Mohammed Dali Carvalho dos Santos, 20, has been charged with murder after allegedly admitting killing Cara after a row on Saturday.

Dos Santos, whose parents live in London, gave an interview to local newspaper Hoje Noticia boasting that he felt ""nothing"" while he was cutting up her body. He described it: ""Just like cutting beef, except for the bleeding"".

Anne-Marie said last night: ""I'll kill the remorseless b*****d who killed my baby. I'll never recover from this. My baby is in bits, they can't even find her. I need her back, I just want to get my baby back where she belongs.

""That monster has taken my girl. He took her life and I want his. She wasn't an angel but she didn't deserve that.

""I saw him on the TV and he showed no remorse. He even said he had no regrets. That was the final insult for me. He took my daughter and he doesn't even care.""

Brazilian police revealed that Dos Santos - who may have had an accomplice to help him dispose of the body - was obsessed with devil doll Chucky from the Child's Play films.

A picture of the killer doll was found on the mobile phone he also used to film himself chopping up Cara's body.

Yesterday Anne-Marie from Southfields, South London, told how she endured an agonising four-hour wait for police to confirm her daughter had been murdered after a friend saw a report about the murder on Brazilian TV.

She said: ""The channel had shown Cara's body and the friend had recognised one of her tattoos.""

Cara's brother Michael Burke said the family asked Scotland Yard to help them speed up the investigation in Brazil.

One police theory is that Cara, who played for a Chelsea ladies' football team, had threatened to expose Dos Santos as a drug dealer and cocaine addict.

Her body was was discovered on Tuesday near the western city of Goiania, 120 miles south of the capital Brasilia. Dos Santos was yesterday helping police search a river for the rest of Cara's body.

Tributes were last night left on the internet site Facebook.

Friend Claire Wiles, 31, wrote: ""R.I.P sweetheart, you will never be forgotten your loud self and crazy ways love to ya claire&ben xxxx"".",uncertain,training
9,"Interpol investigate Madeleine McCann ""sighting"" in Brazil

Interpol is investigating a possible sighting of Madeleine McCann on a plane to Sao Paulo.

A passenger has claimed to have seen missing Maddie on a jet a month and a half ago.

Interpol's chief Jorge Pontes said: ""This sighting is still under investigation so we cannot reveal details. We have a witness insisting they saw the child on a flight to Sao Paulo.""

A foreign Embassy in Brazil reported the sighting to Interpol but Brazilian cops have refused to reveal which Embassy, claiming it could interfere with their investigations.

Maddie, who turned five yesterday, went missing from a holiday apartment in Praia da Luz, Portugal on May 3 last year. Her parents Gerry and Kate McCann were dining at a nearby Tapas bar when she vanished.

Since Madeleine's disappearance there have been several sightings in the country and police said that their sightings dossier is 40 pages thick.

Brazilia Interpol delegate Marilia Moreira Marques said: ""Five leads were followed in Brazil, most of them last year, however, we found nothing leading to Maddie's whereabouts"".

On May 11, 2007 ""a man identified as Mark placed a call to England stating he had seen Maddie at a book fair in Cinelandia, central Rio de Janeiro"", Ms Marques said.

The man reported the little blonde girl and a woman had entered a snack bar.

Ms Marques added: ""The people in the bar didn't remember seeing them and there were no surveillance cameras, so it could be investigated no further"".",uncertain,test
10,"Madonna and Jesus Luz snapped leaving boozy dinner in Brazil

Earlier, 51-year-old Madge had met her lover's mum Cristiane Reginada Silva, 37, for the first time

Material Girl Madonna and toyboy Jesus Luz were snapped leaving a boozy dinner in Brazil on Monday.

Earlier, 51-year-old Madge had met her lover's mum Cristiane Reginada Silva, 37, for the first time. They spent two hours chatting at a hotel yesterday - sparking speculation that Madge was meeting the family prior to installing Jesus as hubby No.3.

But Jesus, 22, said: ""There's no truth to this rumour. I am too young to get married.""",uncertain,training
